date,Agriculture,Arts,Clothing,Construction,Education,Entertainment,Food,Health,Housing,Manufacturing,Personal Use,Retail,Services,Transportation,Wholesale
2014-Jan,2235300,217160,691380,147800,478250,21500,2364775,94625,542650,139050,190850,1960020,933040,318250,10600
2014-Feb,3473325,177850,802025,161750,561055,19000,2543995,161775,542825,140250,176250,2263800,1067100,277875,12150
2014-Mar,3121265,294800,824900,148915,626975,10500,2501675,129050,496075,164300,215150,2238475,1011825,222475,17250
2014-Apr,2851700,230000,878900,149550,477975,11825,2667930,117425,516700,120800,159125,2226625,1145285,218650,17100
2014-May,2928930,216200,766775,153420,652775,21125,2430025,117825,590360,127225,234300,2102200,1011670,235875,22125
2014-Jun,3207600,206750,835575,146000,621935,9650,2746375,90650,620300,129625,261600,2119255,1039290,203025,23225
2014-Jul,3418800,261260,880840,177700,670635,26075,2880350,189750,605760,97275,259450,2214875,1176665,176230,27050
2014-Aug,3139825,250260,783630,151865,616005,27775,2392785,123325,526575,155525,370675,2098790,1092730,206350,27025
2014-Sep,2926335,292050,858130,161775,755255,17225,2781125,115025,565800,128400,248875,2330615,961300,237625,20425
2014-Oct,2933420,285815,869415,209000,873260,36175,2921055,132750,748480,170800,309325,2367770,916245,256925,16450
2014-Nov,3544225,306060,908955,184575,767900,28060,2655925,189400,677250,114550,308900,2146705,1053200,252135,74600
2014-Dec,2664835,246800,903675,188325,800025,33750,2797405,409850,646450,143325,359100,2163325,1044135,199175,19575
2015-Jan,2866175,179100,690440,118050,526050,16275,2600670,298925,584575,119375,249925,1930535,844230,204000,10950
2015-Feb,3513125,267150,686085,175275,532575,23695,2449545,99700,531300,132675,313750,2000805,967585,284975,26375
2015-Mar,3950455,245025,813500,195425,633300,22100,2729730,195100,517325,150200,277400,2303205,1122710,271350,31600
2015-Apr,3998020,226950,797610,117085,575750,19535,2660290,149150,496975,144175,253375,1881340,930860,202635,22975
2015-May,3403340,279525,829500,139105,729400,12700,2652390,183300,507125,140600,339075,2255755,1148750,279450,12850
2015-Jun,3359400,223775,836425,139075,564675,22080,2604190,176175,475250,124350,232325,2385525,1030570,281150,15175
2015-Jul,3297610,255725,857610,159200,601550,40650,2749225,252525,551575,120500,259250,2196205,1034190,263350,18650
2015-Aug,2521600,264300,785950,134200,630675,48800,2842775,206925,441850,151900,314550,2296375,925975,213400,16425
2015-Sep,2691250,289825,779700,139900,721550,16650,2504000,206850,544275,153800,376650,2081725,919825,282800,15650
2015-Oct,2798175,267900,924000,141550,750500,31550,2781050,237650,443100,136675,365825,2165400,1016275,232825,51350
2015-Nov,2571700,258000,875350,127775,951850,23875,2854825,242375,438325,122050,446250,2196200,942305,278250,23575
2015-Dec,3103625,258750,951150,143500,811950,44000,2873975,312075,462700,125100,362500,2043925,1048975,310100,40600
2016-Jan,3105250,241975,728575,127600,565475,21575,2376875,140525,441350,121650,354575,1740900,941800,250675,22350
2016-Feb,3041200,281600,654650,121800,669175,20475,2790400,211375,425700,136225,303600,2110600,1034050,285425,16350
2016-Mar,3722300,358050,866350,155625,762000,30025,3354425,280225,507450,173650,384350,2315725,1014975,252750,17075
2016-Apr,3530425,278000,836675,185900,613775,25300,2692625,254800,459225,123400,252950,2113775,1045500,269775,17175
2016-May,3033025,303525,755250,100375,677325,17175,2517675,251475,426125,108700,319375,1859775,948450,198500,21500
2016-Jun,3230975,348125,786475,190500,675550,26400,2724025,234400,417050,142650,303975,2203925,1060325,210450,18050
2016-Jul,3032925,280550,801725,112150,617075,13775,2702850,238600,394825,88475,383875,2065100,1018850,167225,5400
2016-Aug,2864000,303550,799725,133025,615325,31225,2885350,318000,486100,99325,486850,2254475,1089150,212125,13300
2016-Sep,3203325,348900,714325,185350,1137150,21600,2880550,322325,527625,111000,516150,2126830,949250,225750,16100
2016-Oct,2890650,302975,797150,145075,903725,15600,2674375,241225,503500,87325,483350,2172775,1104025,189075,27375
2016-Nov,3086350,349875,868225,171275,1102100,33800,2833300,343525,444300,120000,371650,2396600,1050925,190725,8250
2016-Dec,2995525,340825,1041625,139925,1060900,31425,3002475,324775,467350,106900,434750,2196825,1063975,239075,66825
2017-Jan,3474050,316300,864900,131675,858175,15875,2945525,179325,405525,81100,384125,2072050,1004275,196175,13000
2017-Feb,3313575,315550,787225,137425,759400,22075,2759500,236900,434825,115850,416175,2190800,1077050,238475,6650
2017-Mar,4553650,361850,1072050,171900,923125,55500,3511200,273775,583800,97200,631725,2596500,1380675,242775,17075
2017-Apr,3363375,273150,830775,133425,623725,12950,2815475,257600,426725,138300,377625,2213900,930325,203200,19525
2017-May,4207150,413700,980250,135575,875525,31175,3107725,346350,567050,129800,544700,2340350,1082075,186625,18925
2017-Jun,2336825,342950,703800,123100,544700,12125,2316100,259000,359125,115050,323500,1758700,712375,162450,20225
